סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
685 ,בניה ,44 ,רחובות ,44 ,רחובות ,28 ,ברנר ,899 ,67 ,220 ,275 ,97 ,89 ,151
686 ,נווה ימין ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1268 ,106 ,211 ,431 ,159 ,135 ,226
687 ,עין איילה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,1196 ,98 ,266 ,413 ,185 ,117 ,117
688 ,עלמה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,900 ,82 ,215 ,336 ,109 ,78 ,80
689 ,מגדים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,1209 ,86 ,273 ,396 ,179 ,100 ,175
690 ,כפר אחים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,821 ,63 ,215 ,259 ,103 ,69 ,112
692 ,שפיר ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,1013 ,107 ,313 ,322 ,129 ,56 ,86
693 ,נתיב הל"ה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,718 ,47 ,137 ,227 ,90 ,109 ,108
694 ,מעגן מיכאל ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,2453 ,190 ,473 ,912 ,284 ,200 ,394
695 ,מגן ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,628 ,45 ,95 ,213 ,72 ,46 ,157
696 ,כפר חב"ד ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,8189 ,1186 ,2469 ,2827 ,628 ,398 ,681
697 ,בארותיים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1146 ,65 ,276 ,352 ,220 ,82 ,151
698 ,בורגתה ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1182 ,78 ,248 ,376 ,177 ,126 ,177
699 ,ניר ישראל ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,904 ,55 ,218 ,286 ,143 ,62 ,140
700 ,חצב ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1345 ,131 ,319 ,439 ,159 ,125 ,172
701 ,ארבל ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,760 ,61 ,182 ,244 ,122 ,48 ,103
702 ,האון ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,207 ,13 ,14 ,87 ,24 ,18 ,51
703 ,גבעת עוז ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,577 ,38 ,84 ,167 ,76 ,63 ,149
705 ,נחשונים ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,557 ,36 ,132 ,151 ,85 ,47 ,106
706 ,גיאה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,889 ,71 ,213 ,260 ,134 ,64 ,147
707 ,כפר דניאל ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,671 ,22 ,142 ,200 ,130 ,83 ,94
708 ,עמקה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,946 ,102 ,220 ,313 ,99 ,76 ,136
709 ,תפרח ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,2296 ,339 ,836 ,695 ,177 ,85 ,164
710 ,בית זית ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1513 ,110 ,269 ,476 ,191 ,171 ,296
711 ,עזריה ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1204 ,105 ,287 ,416 ,159 ,90 ,147
712 ,בן עמי ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,809 ,68 ,187 ,255 ,95 ,84 ,120
713 ,רעים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,521 ,25 ,101 ,164 ,72 ,52 ,107
714 ,ארז ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,691 ,65 ,127 ,264 ,83 ,53 ,99
715 ,להבות חביבה ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1081 ,75 ,291 ,305 ,211 ,96 ,103
716 ,אייל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,657 ,72 ,144 ,216 ,70 ,45 ,110
717 ,חגור ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,1057 ,80 ,221 ,329 ,174 ,106 ,147
718 ,ירחיב ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1160 ,105 ,218 ,435 ,120 ,155 ,127
719 ,תל קציר ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,625 ,67 ,154 ,198 ,70 ,35 ,101
720 ,ניר גלים ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,1255 ,107 ,413 ,437 ,140 ,59 ,99
721 ,שדה אילן ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,810 ,107 ,248 ,261 ,84 ,17 ,93
722 ,מגשימים ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,953 ,77 ,182 ,289 ,133 ,86 ,186
723 ,בית הגדי ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,959 ,104 ,229 ,364 ,71 ,94 ,97
726 ,הודיה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,821 ,67 ,206 ,251 ,114 ,53 ,130
727 ,תלמי יחיאל ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,949 ,67 ,223 ,326 ,127 ,87 ,119
729 ,משמר השבעה ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,1019 ,89 ,200 ,305 ,129 ,110 ,186
730 ,אליפלט ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,826 ,89 ,189 ,294 ,73 ,62 ,119
731 ,מישר ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,741 ,44 ,207 ,194 ,118 ,55 ,123
732 ,משמר הירדן ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,894 ,71 ,204 ,324 ,91 ,77 ,127
734 ,גן יאשיה ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,960 ,62 ,208 ,320 ,127 ,113 ,130
735 ,רמות מאיר ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,781 ,39 ,176 ,209 ,140 ,92 ,125
736 ,גילת ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,1663 ,147 ,401 ,598 ,214 ,127 ,176
737 ,עולש ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1198 ,92 ,306 ,374 ,168 ,112 ,146
738 ,דור ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,459 ,63 ,95 ,162 ,30 ,31 ,78
